,Feature,Definition,Score,CR.Mean,NonCR.mean,pvalue,padjust,
251,WikiPathways.117,G13.Signaling,21.512,0.02% {2/110},0.01% {9/876},0.552,1,
252,WikiPathways.79,Pathways.in.clear.cell.renal.cell.carcinoma,21.512,0.05% {5/110},0.01% {10/876},0.096,1,
253,Spike.6,DNA.damage.response.and.chromatin.remodeling,21.512,0.02% {2/110},0.01% {13/876},0.804,1,
254,SMPDB.16,Phenytoin..Antiarrhythmic..Action.Pathway,21.512,0% {0/110},0.02% {15/876},1.02E-04,0.146166,
255,SMPDB.14,Intracellular.Signalling.Through.Adenosine.Receptor.A2a.and.Adenosine,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
256,KEGG.16,Relaxin.signaling,21.512,0.06% {7/110},0.04% {35/876},0.332,1,
257,SIGNOR2.0.7,SIGNOR.GBM,21.512,0.02% {2/110},0.01% {13/876},0.804,1,
258,REACTOME.157,Transcriptional.regulation.by.RUNX3,21.512,0% {0/110},0.02% {15/876},1.02E-04,0.146166,
259,REACTOME.156,Toll.Like.Receptor.TLR6.TLR2.Cascade,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
260,WikiPathways.122,Signaling.of.Hepatocyte.Growth.Factor.Receptor,21.512,0.01% {1/110},0.01% {10/876},0.812,1,
261,REACTOME.153,Toll.Like.Receptor.5..TLR5..Cascade,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
262,BioCarta.32,ccr3.signaling.in.eosinophils,21.512,0.01% {1/110},0.01% {6/876},0.814,1,
263,REACTOME.151,Toll.Like.Receptor.2..TLR2..Cascade,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
264,stke.12,Mitochondrial.Pathway.of.Apoptosis..Multidomain.Bcl.2.Family,21.512,0.01% {1/110},0.02% {14/876},0.493,1,
265,REACTOME.222,Vif.mediated.degradation.of.APOBEC3G,21.512,0% {0/110},0.01% {11/876},8.87E-04,1,
266,REACTOME.33,Nonsense.Mediated.Decay..NMD..enhanced.by.the.Exon.Junction.Complex..EJC.,21.512,0.01% {1/110},0.06% {51/876},5.82E-05,0.0834006,
267,ACSN2.29,G1_S_CHECKPOINT,21.512,0% {0/110},0.01% {11/876},8.87E-04,1,
268,WikiPathways.110,WikiPathways,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
269,WikiPathways.108,Oxidation.by.Cytochrome.P450,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
270,WikiPathways.106,Extracellular.vesicle.mediated.signaling.in.recipient.cells,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
271,WikiPathways.104,DNA.Damage.Response,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
272,REACTOME.211,CDT1.association.with.the.CDC6.ORC.origin.complex,21.512,0% {0/110},0.01% {11/876},8.87E-04,1,
273,REACTOME.213,Insulin.receptor.signalling.cascade,21.512,0.03% {3/110},0.01% {8/876},0.257,1,
274,SMPDB.19,Insulin.Signalling,21.512,0.02% {2/110},0.01% {10/876},0.612,1,
275,systems.biology.org.2,Skeletal_muscle_v2.9,21.512,0.17% {19/110},0.1% {85/876},0.046,1,
276,SMPDB.18,Fc.Epsilon.Receptor.I.Signaling.in.Mast.Cells,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
277,SIGNOR2.0.11,SIGNOR.TCA,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
278,REACTOME.208,p53.Independent.G1.S.DNA.damage.checkpoint,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
279,REACTOME.207,p53.Independent.DNA.Damage.Response,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
280,REACTOME.206,p53.Dependent.G1.S.DNA.damage.checkpoint,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
281,REACTOME.205,p53.Dependent.G1.DNA.Damage.Response,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
282,REACTOME.204,Vpu.mediated.degradation.of.CD4,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
283,REACTOME.215,Oxygen.dependent.proline.hydroxylation.of.Hypoxia.inducible.Factor.Alpha,21.512,0% {0/110},0.01% {11/876},8.87E-04,1,
284,REACTOME.201,TP53.Regulates.Transcription.of.DNA.Repair.Genes,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
285,REACTOME.200,Signaling.by.high.kinase.activity.BRAF.mutants,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
286,REACTOME.199,Signaling.by.FGFR2,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
287,REACTOME.198,Signaling.by.FGFR,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
288,REACTOME.197,Signal.amplification,21.512,0.08% {9/110},0% {3/876},0.004,1,
289,stke.14,Fibroblast.Growth.Factor.Receptor.Pathway,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
290,BioCarta.22,attenuation.of.gpcr.signaling,21.512,0% {0/110},0.01% {8/876},0.005,1,
291,REACTOME.195,Intrinsic.Pathway.for.Apoptosis,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
292,BioCarta.23,fc.epsilon.receptor.i.signaling.in.mast.cells,21.512,0.01% {1/110},0.01% {10/876},0.812,1,
293,Panther_Pathway.33,Beta1_adrenergic_receptor_signaling,21.512,0.01% {1/110},0.01% {10/876},0.812,1,
294,PID.55,Signaling.events.mediated.by.focal.adhesion.kinase,21.512,0.01% {1/110},0.01% {10/876},0.812,1,
295,PID.54,Neurotrophic.factor.mediated.Trk.receptor.signaling,21.512,0.01% {1/110},0.01% {10/876},0.812,1,
296,ACSN2.1,WNT_NON_CANONICAL,21.512,0.1% {11/110},0.08% {67/876},0.436,1,
297,PID.53,Internalization.of.ErbB1,21.512,0.02% {2/110},0.01% {9/876},0.552,1,
298,PID.52,FGF.signaling,21.512,0.01% {1/110},0.01% {10/876},0.812,1,
299,PID.50,Class.I.PI3K.signaling.events.mediated.by.Akt,21.512,0.02% {2/110},0.01% {9/876},0.552,1,
300,PID.49,ATF.2.transcription.factor.network,21.512,0% {0/110},0.01% {11/876},8.87E-04,1,
301,Panther_Pathway.36,Metabotropic_glutamate_receptor_group_I,21.512,0.03% {3/110},0.01% {8/876},0.257,1,
302,NetPath.25,Notch,21.512,0.02% {2/110},0.01% {9/876},0.552,1,
303,NetPath.24,IL5,21.512,0% {0/110},0.01% {11/876},8.87E-04,1,
304,Panther_Pathway.37,p53,21.512,0.03% {3/110},0.01% {8/876},0.257,1,
305,IPAVS,Cardiac_Hypertrophy,21.512,0.09% {10/110},0.07% {65/876},0.565,1,
306,KEGG.157,Prion.diseases,21.512,0.01% {1/110},0.01% {10/876},0.812,1,
307,REACTOME.210,Autodegradation.of.Cdh1.by.Cdh1.APC.C,21.512,0% {0/110},0.01% {11/876},8.87E-04,1,
308,systems.biology.org.3,hepatocyte_v2.9,21.512,0.16% {18/110},0.09% {83/876},0.063,1,
309,IPAVS.13,Gq_activated_pathways_in_maladaptive_hypertrophy,21.512,0.02% {2/110},0.01% {9/876},0.552,1,
310,REACTOME.13,Cytokine.Signaling.in.Immune.system,21.512,0.05% {5/110},0.08% {68/876},0.144,1,
311,BioCarta.27,phospholipids.as.signalling.intermediaries,21.512,0.02% {2/110},0.01% {9/876},0.552,1,
312,BioCarta.26,mechanism.of.gene.regulation.by.peroxisome.proliferators.via.ppara,21.512,0% {0/110},0.01% {11/876},8.87E-04,1,
313,BioCarta.24,fmlp.induced.chemokine.gene.expression.in.hmc.1.cells,21.512,0.01% {1/110},0.01% {10/876},0.812,1,
314,REACTOME.196,MAP2K.and.MAPK.activation,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
315,REACTOME.191,Defective.CFTR.causes.cystic.fibrosis,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
316,PID.31,Insulin.Pathway,21.512,0.03% {3/110},0.01% {10/876},0.324,1,
317,INOH.29,Notch,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
318,REACTOME.24,Eukaryotic.Translation.Initiation,21.512,0.02% {2/110},0.06% {55/876},0.004,1,
319,REACTOME.219,Signaling.by.ERBB2,21.512,0.01% {1/110},0.01% {10/876},0.812,1,
320,ACSN2.4,APOPTOSIS,21.512,0.07% {8/110},0.05% {47/876},0.465,1,
321,BioCarta.19,regulation.of.ck1.cdk5.by.type.1.glutamate.receptors,21.512,0% {0/110},0.01% {9/876},0.003,1,
322,BioCarta.17,links.between.pyk2.and.map.kinases,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
323,ACSN2.28,IMMUNOSUPPPRESSIVE_CORE,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
324,REACTOME.220,Stabilization.of.p53,21.512,0% {0/110},0.01% {11/876},8.87E-04,1,
325,WikiPathways.99,TCA.Cycle.and.Deficiency.of.Pyruvate.Dehydrogenase.complex..PDHc.,21.512,0.02% {2/110},0.01% {11/876},0.674,1,
326,WikiPathways.96,IL.2.Signaling,21.512,0% {0/110},0.01% {13/876},2.99E-04,0.428467,
327,WikiPathways.95,Follicle.Stimulating.Hormone..FSH..signaling,21.512,0.04% {4/110},0.01% {9/876},0.156,1,
328,Spike.8,DAPk.family,21.512,0.03% {3/110},0.01% {10/876},0.324,1,
329,REACTOME.182,SCF.Skp2..mediated.degradation.of.p27.p21,21.512,0% {0/110},0.01% {13/876},2.99E-04,0.428467,
330,REACTOME.181,Regulation.of.RUNX2.expression.and.activity,21.512,0% {0/110},0.01% {13/876},2.99E-04,0.428467,
331,REACTOME.179,Hh.mutants.abrogate.ligand.secretion,21.512,0% {0/110},0.01% {13/876},2.99E-04,0.428467,
332,KEGG.5,Insulin.signaling,21.512,0.1% {11/110},0.05% {41/876},0.075,1,
333,Panther_Pathway.26,Alzheimer_disease_amyloid_secretase,21.512,0.01% {1/110},0.01% {12/876},0.642,1,
334,PID.38,p53,21.512,0% {0/110},0.01% {13/876},2.99E-04,0.428467,
335,PID.37,a6b1.and.a6b4.Integrin.signaling,21.512,0.01% {1/110},0.01% {12/876},0.642,1,
336,PID.36,Validated.transcriptional.targets.of.TAp63.isoforms,21.512,0.01% {1/110},0.01% {12/876},0.642,1,
337,SMPDB.20,Azathioprine.Action.Pathway,21.512,0.02% {2/110},0.01% {9/876},0.552,1,
338,KEGG.6,MAPK.signaling,21.512,0.04% {4/110},0.05% {48/876},0.346,1,
339,REACTOME.23,Cap.dependent.Translation.Initiation,21.512,0.02% {2/110},0.06% {55/876},0.004,1,
340,BioCarta.10,mcalpain.and.friends.in.cell.motility,21.512,0% {0/110},0.02% {15/876},1.02E-04,0.146166,
341,ACSN2.3,OXIDATIVE_PHOSPHOYLATION_AND_TCA_CYCLE,21.512,0.08% {9/110},0.06% {49/876},0.346,1,
342,IPAVS.12,GAP_JUNCTION_REGULATION,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
343,REACTOME.188,CDK.mediated.phosphorylation.and.removal.of.Cdc6,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
344,REACTOME.187,Assembly.of.the.pre.replicative.complex,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
345,REACTOME.185,APC.Cdc20.mediated.degradation.of.cell.cycle.proteins.prior.to.satisfation.of.the.cell.cycle.checkpoint,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
346,REACTOME.184,APC.C.Cdc20.mediated.degradation.of.mitotic.proteins,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
347,REACTOME.183,ABC.transporter.disorders,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
348,Panther_Pathway.30,GABA.B_receptor_II,21.512,0.04% {4/110},0.01% {8/876},0.138,1,
349,Panther_Pathway.29,Dopamine_receptor_mediated_signaling,21.512,0.04% {4/110},0.01% {8/876},0.138,1,
350,Panther_Pathway.28,Angiotensin_II.stimulated_signaling_through_G_proteins_and_beta.arrestin,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
351,PID.48,p75.NTR..mediated.signaling,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
352,WikiPathways.192,Tamoxifen.metabolism,21.512,0.01% {1/110},0% {4/876},0.63,1,
353,PID.44,TGF.beta.receptor.signaling,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
354,PID.43,Nongenotropic.Androgen.signaling,21.512,0.05% {6/110},0.01% {6/876},0.032,1,
355,PID.42,IL2.signaling.events.mediated.by.PI3K,21.512,0.02% {2/110},0.01% {10/876},0.612,1,
356,PID.41,FoxO.family.signaling,21.512,0.02% {2/110},0.01% {10/876},0.612,1,
357,REACTOME.217,RUNX1.regulates.transcription.of.genes.involved.in.differentiation.of.HSCs,21.512,0% {0/110},0.01% {11/876},8.87E-04,1,
358,PID.39,EPHB.forward.signaling,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
359,NetPath.22,IL1,21.512,0.01% {1/110},0.01% {11/876},0.725,1,
360,NetPath.21,IL.7,21.512,0% {0/110},0.01% {12/876},5.15E-04,0.737995,
361,KEGG.153,Pertussis,21.512,0.03% {3/110},0.01% {9/876},0.289,1,
362,KEGG.151,Cocaine.addiction,21.512,0.04% {4/110},0.01% {5/876},0.093,1,
363,KEGG.150,Aldosterone.regulated.sodium.reabsorption,21.512,0.02% {2/110},0.01% {10/876},0.612,1,
364,EHMN.8,Glycolysis.and.Gluconeogenesis,21.512,0.02% {2/110},0.01% {13/876},0.804,1,
365,REACTOME.129,Signaling.by.BRAF.and.RAF.fusions,21.512,0.01% {1/110},0.02% {15/876},0.427,1,
366,REACTOME.43,Platelet.activation..signaling.and.aggregation,21.512,0.11% {12/110},0.04% {32/876},0.019,1,
367,KEGG.99,Regulation.of.lipolysis.in.adipocytes,21.512,0.05% {6/110},0.01% {12/876},0.067,1,
368,stke.1,Adrenergic.Pathway,21.512,0.04% {4/110},0.02% {17/876},0.362,1,
369,WikiPathways.46,Translation.inhibitors.in.chronically.activated.PDGFRA.cells,21.512,0.03% {3/110},0.02% {18/876},0.681,1,
370,KEGG.46,Colorectal.cancer,21.512,0.02% {2/110},0.03% {29/876},0.293,1,
371,WikiPathways.45,Integrin.mediated.Cell.Adhesion,21.512,0.01% {1/110},0.02% {20/876},0.188,1,
372,SMPDB.1,Glutaminolysis.and.Cancer,21.512,0.04% {4/110},0.02% {17/876},0.362,1,
373,REACTOME.89,MAPK6.MAPK4.signaling,21.512,0% {0/110},0.02% {21/876},4.10E-06,0.0058753,
374,REACTOME.88,Cellular.response.to.heat.stress,21.512,0.02% {2/110},0.02% {19/876},0.798,1,
375,Panther_Pathway.15,T_cell_activation,21.512,0.02% {2/110},0.02% {19/876},0.798,1,
376,Panther_Pathway.13,B_cell_activation,21.512,0.01% {1/110},0.02% {20/876},0.188,1,
377,PID.6,ErbB2.ErbB3.signaling.events,21.512,0.02% {2/110},0.02% {19/876},0.798,1,
378,PID.5,CXCR3.mediated.signaling.events,21.512,0.06% {7/110},0.02% {14/876},0.047,1,
379,KEGG.98,NOD.like.receptor.signaling,21.512,0.05% {5/110},0.02% {16/876},0.186,1,
380,EHMN.4,Urea.cycle.and.metabolism.of.arginine..proline..glutamate..aspartate.and.asparagine,21.512,0.04% {4/110},0.02% {16/876},0.33,1,
381,KEGG.96,Hepatitis.C,21.512,0.02% {2/110},0.02% {19/876},0.798,1,
382,KEGG.95,Cell.cycle,21.512,0.02% {2/110},0.02% {19/876},0.798,1,
383,WikiPathways.43,RAC1.PAK1.p38.MMP2,21.512,0.02% {2/110},0.02% {20/876},0.736,1,
384,Spike.3,Apoptosis.Anti.Apoptosis.Network,21.512,0.03% {3/110},0.02% {19/876},0.733,1,
385,SIGNOR2.0.1,SIGNOR.INSR,21.512,0.05% {5/110},0.02% {17/876},0.206,1,
386,REACTOME.87,Signaling.by.the.B.Cell.Receptor..BCR.,21.512,0% {0/110},0.03% {22/876},2.40E-06,0.0034392,
387,ACSN2.17,NECROPTOSIS,21.512,0.05% {5/110},0.03% {25/876},0.416,1,
388,REACTOME.84,Beta.catenin.independent.WNT.signaling,21.512,0.02% {2/110},0.02% {20/876},0.736,1,
389,Panther_Pathway.10,Integrin_signalling,21.512,0.02% {2/110},0.02% {20/876},0.736,1,
390,KEGG.93,Renin.secretion,21.512,0.05% {5/110},0.02% {14/876},0.151,1,
391,KEGG.91,Melanogenesis,21.512,0.05% {6/110},0.01% {13/876},0.075,1,
392,WikiPathways.16,Focal.Adhesion,21.512,0.02% {2/110},0.03% {30/876},0.259,1,
393,KEGG.101,Adipocytokine.signaling,21.512,0.05% {6/110},0.02% {14/876},0.084,1,
394,WikiPathways.76,Sterol.Regulatory.Element.Binding.Proteins..SREBP..signalling,21.512,0.05% {5/110},0.01% {11/876},0.108,1,
395,WikiPathways.51,Hippo.Merlin.Signaling.Dysregulation,21.512,0.02% {2/110},0.02% {18/876},0.863,1,
396,PID.11,Hedgehog.signaling.events.mediated.by.Gli.proteins,21.512,0.06% {7/110},0.01% {12/876},0.037,1,
397,PID.10,Glucocorticoid.receptor.regulatory.network,21.512,0.02% {2/110},0.02% {17/876},0.928,1,
398,NetPath.12,KitReceptor,21.512,0.03% {3/110},0.02% {16/876},0.58,1,
399,KEGG.118,Vibrio.cholerae.infection,21.512,0.03% {3/110},0.01% {13/876},0.442,1,
400,KEGG.116,Peroxisome,21.512,0.03% {3/110},0.02% {16/876},0.58,1,
401,KEGG.114,Melanoma,21.512,0.02% {2/110},0.02% {17/876},0.928,1,
402,KEGG.112,Fluid.shear.stress.and.atherosclerosis,21.512,0.05% {5/110},0.02% {14/876},0.151,1,
403,KEGG.42,GnRH.signaling,21.512,0.04% {4/110},0.03% {25/876},0.678,1,
404,INOH.11,IL.1.p38,21.512,0% {0/110},0.02% {19/876},1.19E-05,0.0170527,
405,BioCarta,transcription.factor.creb.and.its.extracellular.signals,21.512,0.01% {1/110},0.02% {15/876},0.427,1,
406,stke.2,Differentiation.Pathway.in.PC12.Cells,21.512,0.04% {4/110},0.02% {16/876},0.33,1,
407,WikiPathways.49,Cell.Cycle,21.512,0.02% {2/110},0.02% {18/876},0.863,1,
408,KEGG.102,Chronic.myeloid.leukemia,21.512,0.03% {3/110},0.02% {17/876},0.63,1,
409,WikiPathways.48,Alzheimers.Disease,21.512,0.03% {3/110},0.02% {17/876},0.63,1,
410,WikiPathways.47,AGE.RAGE,21.512,0.02% {2/110},0.02% {18/876},0.863,1,
411,KEGG.44,cAMP.signaling,21.512,0.05% {5/110},0.03% {24/876},0.385,1,
412,REACTOME.92,Downstream.TCR.signaling,21.512,0.01% {1/110},0.02% {19/876},0.225,1,
413,PID.9,Regulation.of.Telomerase,21.512,0.03% {3/110},0.02% {17/876},0.63,1,
414,PID.8,Direct.p53.effectors,21.512,0.02% {2/110},0.02% {18/876},0.863,1,
415,NetPath.10,Prolactin,21.512,0% {0/110},0.02% {20/876},6.99E-06,0.01001667,
416,NetPath.9,BCR,21.512,0.01% {1/110},0.02% {19/876},0.225,1,
417,REACTOME.57,Fc.epsilon.receptor..FCERI..signaling,21.512,0.01% {1/110},0.04% {31/876},0.018,1,
418,KEGG.104,Endometrial.cancer,21.512,0.01% {1/110},0.02% {19/876},0.225,1,
419,KEGG.103,Dilated.cardiomyopathy..DCM.,21.512,0.01% {1/110},0.02% {16/876},0.368,1,
420,KEGG.90,Axon.guidance,21.512,0.04% {4/110},0.02% {18/876},0.396,1,
421,KEGG.89,Aldosterone.synthesis.and.secretion,21.512,0.03% {3/110},0.02% {16/876},0.58,1,
422,INOH.9,B.cell.receptor.signaling,21.512,0.01% {1/110},0.02% {21/876},0.156,1,
423,WikiPathways.31,Leptin.signaling,21.512,0.04% {4/110},0.03% {23/876},0.59,1,
424,WikiPathways.38,Prolactin.Signaling,21.512,0.03% {3/110},0.03% {23/876},0.951,1,
425,REACTOME.60,C.type.lectin.receptors..CLRs.,21.512,0% {0/110},0.03% {29/876},5.77E-08,8.27E-05,
426,WikiPathways.36,MicroRNAs.in.cardiomyocyte.hypertrophy,21.512,0.04% {4/110},0.03% {22/876},0.548,1,
427,WikiPathways.34,DNA.Damage.Response..only.ATM.dependent.,21.512,0.04% {4/110},0.03% {22/876},0.548,1,
428,REACTOME.61,ESR.mediated.signaling,21.512,0.06% {7/110},0.03% {22/876},0.111,1,
429,NetPath.5,Leptin,21.512,0.05% {6/110},0.02% {20/876},0.158,1,
430,KEGG.71,Pancreatic.cancer,21.512,0.02% {2/110},0.03% {24/876},0.509,1,
431,KEGG.68,Choline.metabolism.in.cancer,21.512,0.05% {5/110},0.02% {21/876},0.299,1,
432,INOH.7,TGF.beta.super.family.signaling.pathway.canonical,21.512,0.03% {3/110},0.03% {23/876},0.951,1,
433,ACSN2.18,FATTY_ACID_BIOSYNTHESIS,21.512,0.05% {5/110},0.02% {21/876},0.299,1,
434,WikiPathways.32,Metapathway.biotransformation.Phase.I.and.II,21.512,0.05% {5/110},0.03% {22/876},0.326,1,
435,WikiPathways.27,TGF.beta.Signaling,21.512,0.02% {2/110},0.03% {27/876},0.37,1,
436,KEGG.49,Cushing.syndrome,21.512,0.05% {6/110},0.02% {21/876},0.174,1,
437,Panther_Pathway.5,Endothelin_signaling,21.512,0.05% {5/110},0.03% {22/876},0.326,1,
438,Panther_Pathway.4,Angiogenesis,21.512,0.02% {2/110},0.03% {25/876},0.46,1,
439,PID.4,PDGFR.beta.signaling,21.512,0.02% {2/110},0.03% {25/876},0.46,1,
440,KEGG.67,Influenza.A,21.512,0.02% {2/110},0.03% {25/876},0.46,1,
441,KEGG.66,Epstein.Barr.virus.infection,21.512,0.03% {3/110},0.03% {24/876},0.994,1,
442,KEGG.65,Breast.cancer,21.512,0.03% {3/110},0.03% {24/876},0.994,1,
443,WikiPathways.29,Signaling.Pathways.in.Glioblastoma,21.512,0.03% {3/110},0.03% {25/876},0.939,1,
444,Panther_Pathway.3,Ras_Pathway,21.512,0.02% {2/110},0.03% {26/876},0.414,1,
445,PID.2,mTOR.signaling,21.512,0.05% {6/110},0.03% {22/876},0.191,1,
446,KEGG.64,Regulation.of.actin.cytoskeleton,21.512,0.04% {4/110},0.03% {24/876},0.633,1,
447,KEGG.63,RNA.transport,21.512,0.02% {2/110},0.03% {26/876},0.414,1,
448,KEGG.76,T.cell.receptor.signaling,21.512,0.01% {1/110},0.03% {24/876},0.087,1,
449,KEGG.77,Toxoplasmosis,21.512,0.04% {4/110},0.02% {21/876},0.508,1,
450,REACTOME.75,Mitotic.G1.G1.S.phases,21.512,0.01% {1/110},0.03% {24/876},0.087,1,
451,Spike,RAS.signaling.and.tumorigenesis,21.512,0.03% {3/110},0.03% {22/876},0.896,1,
452,WikiPathways.42,Synaptic.signaling.pathways.associated.with.autism.spectrum.disorder,21.512,0.06% {7/110},0.02% {16/876},0.059,1,
453,WikiPathways.41,Oncostatin.M.Signaling,21.512,0.01% {1/110},0.03% {22/876},0.129,1,
454,KEGG.50,ErbB.signaling,21.512,0.03% {3/110},0.03% {27/876},0.832,1,
455,KEGG.51,Thyroid.hormone.signaling,21.512,0.06% {7/110},0.03% {23/876},0.122,1,
456,REACTOME.83,TCR.signaling,21.512,0.01% {1/110},0.03% {22/876},0.129,1,
457,Panther_Pathway.2,EGF_receptor_signaling,21.512,0.02% {2/110},0.03% {28/876},0.33,1,
458,Panther_Pathway.9,FGF_signaling,21.512,0.02% {2/110},0.02% {21/876},0.675,1,
459,KEGG.53,Gap.junction,21.512,0.06% {7/110},0.02% {19/876},0.082,1,
460,NetPath.7,IL6,21.512,0.02% {2/110},0.02% {21/876},0.675,1,
461,KEGG.87,Oocyte.meiosis,21.512,0.02% {2/110},0.02% {21/876},0.675,1,
462,KEGG.86,Necroptosis,21.512,0.03% {3/110},0.02% {20/876},0.787,1,
463,KEGG.55,Parathyroid.hormone.synthesis..secretion.and.action,21.512,0.07% {8/110},0.02% {18/876},0.042,1,
464,SMPDB,Warburg.Effect,21.512,0.04% {4/110},0.02% {20/876},0.469,1,
465,REACTOME.80,G2.M.Checkpoints,21.512,0% {0/110},0.03% {24/876},8.27E-07,0.001185091,
466,REACTOME.79,Disorders.of.transmembrane.transporters,21.512,0.05% {5/110},0.02% {19/876},0.25,1,
467,Panther_Pathway.8,Parkinson_disease,21.512,0.01% {1/110},0.03% {23/876},0.106,1,
468,KEGG.80,Prolactin.signaling,21.512,0.03% {3/110},0.02% {21/876},0.841,1,
469,KEGG.79,Inflammatory.mediator.regulation.of.TRP.channels,21.512,0.03% {3/110},0.02% {18/876},0.681,1,
470,KEGG.78,Glutamatergic.synapse,21.512,0.05% {6/110},0.02% {15/876},0.094,1,
471,IPAVS.5,FAS_signaling_in_cardiac_hypertrophy,21.512,0.02% {2/110},0.03% {22/876},0.617,1,
472,KEGG.56,Vascular.smooth.muscle.contraction,21.512,0.05% {5/110},0.02% {21/876},0.299,1,
473,ACSN2.19,MITOCHONDRIAL_GENES,21.512,0.03% {3/110},0.02% {21/876},0.841,1,
474,WikiPathways.40,Regulation.of.Actin.Cytoskeleton,21.512,0.04% {4/110},0.02% {21/876},0.508,1,
475,ACSN2.16,IMMUNOSTIMULATORY_CORE,21.512,0.04% {4/110},0.03% {28/876},0.816,1,
476,PID.13,SHP2.signaling,21.512,0.04% {4/110},0.02% {15/876},0.299,1,
477,PharmGKB.1,Beta_agonist_Beta_blocker_Pathway_Pharmacodynamics,21.512,0.04% {4/110},0.01% {12/876},0.219,1,
478,WikiPathways.64,Androgen.receptor.signaling,21.512,0.03% {3/110},0.02% {14/876},0.486,1,
479,INOH.18,GPCR.Adenosine.A2A.receptor,21.512,0.01% {1/110},0.01% {12/876},0.642,1,
480,INOH.17,Arginine.Proline.metabolism,21.512,0.04% {4/110},0.01% {12/876},0.219,1,
481,HumanCyc.1,purine.nucleotides..i.de.novo..i..biosynthesis,21.512,0.02% {2/110},0.02% {14/876},0.871,1,
482,EHMN.7,Linoleate.metabolism,21.512,0.01% {1/110},0.02% {15/876},0.427,1,
483,BioCarta.9,trefoil.factors.initiate.mucosal.healing,21.512,0.02% {2/110},0.02% {14/876},0.871,1,
484,BioCarta.7,chrebp.regulation.by.carbohydrates.and.camp,21.512,0.02% {2/110},0.01% {11/876},0.674,1,
485,stke.8,Granule.Cell.Survival.Pathway,21.512,0.03% {3/110},0.02% {14/876},0.486,1,
486,stke.7,ERK1.ERK2.MAPK.Pathway,21.512,0.03% {3/110},0.02% {14/876},0.486,1,
487,WikiPathways.70,TNF.alpha.Signaling,21.512,0.01% {1/110},0.02% {16/876},0.368,1,
488,WikiPathways.68,Lipid.Metabolism,21.512,0.02% {2/110},0.02% {15/876},0.938,1,
489,WikiPathways.65,Aryl.Hydrocarbon.Receptor,21.512,0.01% {1/110},0.02% {16/876},0.368,1,
490,ACSN2.13,HEDGEHOG,21.512,0.05% {6/110},0.04% {32/876},0.428,1,
491,NetPath.15,Gastrin,21.512,0% {0/110},0.02% {17/876},3.48E-05,0.0498684,
492,SIGNOR2.0.3,SIGNOR.PI3K.AKT,21.512,0.03% {3/110},0.02% {14/876},0.486,1,
493,REACTOME.121,Regulation.of.HSF1.mediated.heat.shock.response,21.512,0.01% {1/110},0.02% {16/876},0.368,1,
494,IPAVS.2,GSK3_as_a_convergence_point_in_hypertrophic_signaling,21.512,0.05% {6/110},0.03% {29/876},0.344,1,
495,REACTOME.120,Protein.folding,21.512,0.07% {8/110},0.01% {9/876},0.014,1,
496,REACTOME.119,Phase.I...Functionalization.of.compounds,21.512,0.02% {2/110},0.02% {15/876},0.938,1,
497,KEGG.27,Estrogen.signaling,21.512,0.06% {7/110},0.03% {28/876},0.192,1,
498,REACTOME.118,PI3K.AKT.Signaling.in.Cancer,21.512,0.03% {3/110},0.02% {14/876},0.486,1,
499,REACTOME.117,Interleukin.12.signaling,21.512,0.02% {2/110},0.02% {15/876},0.938,1,
