"","Feature","Definition","Score","CR.Mean","NonCR.mean","pvalue","padjust"
"255","GO:0000226","microtubule cytoskeleton organization",3.143,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"256","GO:0051607","defense response to virus",3.128,"2.63% {3/114}","0.69% {7/1010}",0.059,1
"257","GO:0034983","peptidyl-lysine deacetylation",3.094,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"258","GO:0034976","response to endoplasmic reticulum stress",3.088,"0.88% {1/114}","1.58% {16/1010}",0.572,1
"259","GO:0002376","immune system process",3.078,"1.75% {2/114}","2.28% {23/1010}",0.51,1
"260","GO:0016567","protein ubiquitination",3.067,"3.51% {4/114}","2.97% {30/1010}",0.488,1
"261","GO:0016485","protein processing",3.058,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"262","GO:0007528","neuromuscular junction development",3.051,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"263","GO:0043388","positive regulation of DNA binding",3.04,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"264","GO:0035690","cellular response to drug",3.007,"2.63% {3/114}","1.09% {11/1010}",0.168,1
"265","GO:0001568","blood vessel development",3.003,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"266","GO:0035641","locomotory exploration behavior",2.995,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"267","GO:0070301","cellular response to hydrogen peroxide",2.989,"3.51% {4/114}","0.79% {8/1010}",0.014,1
"268","GO:0007595","lactation",2.977,"0.88% {1/114}","1.09% {11/1010}",0.5,1
"269","GO:2000304","positive regulation of ceramide biosynthetic process",2.972,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"270","GO:1902176","negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",2.947,"2.63% {3/114}","0.2% {2/1010}",0.002,1
"271","GO:0021984","adenohypophysis development",2.937,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"272","GO:0006364","rRNA processing",2.931,"0% {0/114}","1.98% {20/1010}",0.873,1
"273","GO:1904707","positive regulation of vascular associated smooth muscle cell proliferation",2.927,"2.63% {3/114}","0.59% {6/1010}",0.039,1
"274","GO:0043278","response to morphine",2.899,"2.63% {3/114}","0.2% {2/1010}",0.002,1
"275","GO:0042110","T cell activation",2.889,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"276","GO:0006734","NADH metabolic process",2.88,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"277","GO:0035176","social behavior",2.841,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"278","GO:0019373","epoxygenase P450 pathway",2.826,"0% {0/114}","0.79% {8/1010}",0.643,1
"279","GO:0009314","response to radiation",2.824,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"280","GO:0009306","protein secretion",2.82,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"281","GO:0006814","sodium ion transport",2.817,"0% {0/114}","1.09% {11/1010}",0.732,1
"282","GO:0018108","peptidyl-tyrosine phosphorylation",2.813,"2.63% {3/114}","1.39% {14/1010}",0.265,1
"283","GO:0042981","regulation of apoptotic process",2.803,"1.75% {2/114}","2.38% {24/1010}",0.536,1
"284","GO:0006334","nucleosome assembly",2.753,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"285","GO:0036258","multivesicular body assembly",2.738,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"286","GO:0060135","maternal process involved in female pregnancy",2.683,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"287","GO:0002223","stimulatory C-type lectin receptor signaling pathway",2.683,"0% {0/114}","2.48% {25/1010}",0.914,1
"288","GO:0006909","phagocytosis",2.667,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"289","GO:0032007","negative regulation of TOR signaling",2.651,"3.51% {4/114}","0.2% {2/1010}",4.42e-05,0.0692614
"290","GO:0042738","exogenous drug catabolic process",2.641,"0% {0/114}","0.79% {8/1010}",0.643,1
"291","GO:0045471","response to ethanol",2.631,"2.63% {3/114}","1.29% {13/1010}",0.232,1
"292","GO:0006565","L-serine catabolic process",2.625,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"293","GO:0001975","response to amphetamine",2.622,"2.63% {3/114}","0.2% {2/1010}",0.002,1
"294","GO:0006865","amino acid transport",2.614,"0% {0/114}","0.99% {10/1010}",0.706,1
"295","GO:0070373","negative regulation of ERK1 and ERK2 cascade",2.613,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"296","GO:0015718","monocarboxylic acid transport",2.604,"0% {0/114}","0.69% {7/1010}",0.604,1
"297","GO:0070555","response to interleukin-1",2.596,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"298","GO:0043276","anoikis",2.586,"2.63% {3/114}","0.1% {1/1010}",0.000256,0.401152
"299","GO:0006110","regulation of glycolytic process",2.577,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"300","GO:0071356","cellular response to tumor necrosis factor",2.561,"3.51% {4/114}","0.99% {10/1010}",0.032,1
"301","GO:0007616","long-term memory",2.557,"2.63% {3/114}","0.2% {2/1010}",0.002,1
"302","GO:0070885","negative regulation of calcineurin-NFAT signaling cascade",2.533,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"303","GO:0007213","G protein-coupled acetylcholine receptor signaling pathway",2.509,"2.63% {3/114}","0% {0/1010}",1.31e-05,0.0205277
"304","GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein",2.502,"2.63% {3/114}","0.69% {7/1010}",0.059,1
"305","GO:0007584","response to nutrient",2.501,"2.63% {3/114}","1.39% {14/1010}",0.265,1
"306","GO:0042752","regulation of circadian rhythm",2.493,"3.51% {4/114}","1.09% {11/1010}",0.044,1
"307","GO:0042407","cristae formation",2.489,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"308","GO:0006471","protein ADP-ribosylation",2.463,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"309","GO:0006633","fatty acid biosynthetic process",2.438,"1.75% {2/114}","1.49% {15/1010}",0.5,1
"310","GO:0019752","carboxylic acid metabolic process",2.438,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"311","GO:0016126","sterol biosynthetic process",2.427,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"312","GO:0008283","cell population proliferation",2.426,"2.63% {3/114}","1.68% {17/1010}",0.362,1
"313","GO:0042475","odontogenesis of dentin-containing tooth",2.378,"2.63% {3/114}","0.3% {3/1010}",0.005,1
"314","GO:0006069","ethanol oxidation",2.375,"0% {0/114}","0.5% {5/1010}",0.504,1
"315","GO:0008544","epidermis development",2.355,"1.75% {2/114}","0.69% {7/1010}",0.258,1
"316","GO:1903779","regulation of cardiac conduction",2.344,"0% {0/114}","1.29% {13/1010}",0.775,1
"317","GO:2001240","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand",2.315,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"318","GO:0001701","in utero embryonic development",2.299,"1.75% {2/114}","1.49% {15/1010}",0.5,1
"319","GO:0006103","2-oxoglutarate metabolic process",2.296,"0% {0/114}","0.89% {9/1010}",0.676,1
"320","GO:0031397","negative regulation of protein ubiquitination",2.291,"2.63% {3/114}","1.19% {12/1010}",0.2,1
"321","GO:0006102","isocitrate metabolic process",2.276,"0% {0/114}","0.5% {5/1010}",0.504,1
"322","GO:0001523","retinoid metabolic process",2.272,"0% {0/114}","0.89% {9/1010}",0.676,1
"323","GO:0044267","cellular protein metabolic process",2.258,"0% {0/114}","1.39% {14/1010}",0.794,1
"324","GO:1901796","regulation of signal transduction by p53 class mediator",2.241,"3.51% {4/114}","1.98% {20/1010}",0.233,1
"325","GO:0017157","regulation of exocytosis",2.233,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"326","GO:0050790","regulation of catalytic activity",2.233,"0.88% {1/114}","1.49% {15/1010}",0.541,1
"327","GO:2000074","regulation of type B pancreatic cell development",2.231,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"328","GO:0008150","biological_process",2.229,"0% {0/114}","1.39% {14/1010}",0.794,1
"329","GO:0007507","heart development",2.228,"2.63% {3/114}","1.88% {19/1010}",0.424,1
"330","GO:0010507","negative regulation of autophagy",2.21,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"331","GO:0007613","memory",2.197,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"332","GO:0042552","myelination",2.168,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"333","GO:0021675","nerve development",2.16,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"334","GO:0018105","peptidyl-serine phosphorylation",2.151,"2.63% {3/114}","2.77% {28/1010}",0.5,1
"335","GO:0042733","embryonic digit morphogenesis",2.146,"2.63% {3/114}","0.3% {3/1010}",0.005,1
"336","GO:0036444","calcium import into the mitochondrion",2.132,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"337","GO:0008053","mitochondrial fusion",2.117,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"338","GO:0006904","vesicle docking involved in exocytosis",2.098,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"339","GO:0008610","lipid biosynthetic process",2.089,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"340","GO:0009642","response to light intensity",2.067,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"341","GO:0051056","regulation of small GTPase mediated signal transduction",2.064,"1.75% {2/114}","0.79% {8/1010}",0.305,1
"342","GO:0050821","protein stabilization",2.052,"1.75% {2/114}","2.97% {30/1010}",0.671,1
"343","GO:0032930","positive regulation of superoxide anion generation",2.044,"2.63% {3/114}","0.3% {3/1010}",0.005,1
"344","GO:0006891","intra-Golgi vesicle-mediated transport",2.038,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"345","GO:0048015","phosphatidylinositol-mediated signaling",2.034,"2.63% {3/114}","0.59% {6/1010}",0.039,1
"346","GO:0010629","negative regulation of gene expression",2.026,"4.39% {5/114}","3.37% {34/1010}",0.384,1
"347","GO:0030148","sphingolipid biosynthetic process",2.011,"0% {0/114}","1.58% {16/1010}",0.825,1
"348","GO:0048538","thymus development",1.991,"1.75% {2/114}","0.5% {5/1010}",0.161,1
"349","GO:0032355","response to estradiol",1.984,"0% {0/114}","1.49% {15/1010}",0.81,1
"350","GO:0000470","maturation of LSU-rRNA",1.983,"0% {0/114}","0.3% {3/1010}",0.5,1
"351","GO:0098609","cell-cell adhesion",1.973,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"352","GO:0022904","respiratory electron transport chain",1.945,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"353","GO:0048167","regulation of synaptic plasticity",1.936,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"354","GO:0033864","positive regulation of NAD(P)H oxidase activity",1.918,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"355","GO:0019693","ribose phosphate metabolic process",1.905,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"356","GO:0006569","tryptophan catabolic process",1.903,"0% {0/114}","0.4% {4/1010}",0.5,1
"357","GO:0036092","phosphatidylinositol-3-phosphate biosynthetic process",1.894,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"358","GO:0007612","learning",1.893,"1.75% {2/114}","0.79% {8/1010}",0.305,1
"359","GO:0034620","cellular response to unfolded protein",1.89,"0.88% {1/114}","0.89% {9/1010}",0.5,1
"360","GO:0001822","kidney development",1.884,"0.88% {1/114}","0.99% {10/1010}",0.5,1
"361","GO:0071363","cellular response to growth factor stimulus",1.877,"1.75% {2/114}","1.09% {11/1010}",0.433,1
"362","GO:0071549","cellular response to dexamethasone stimulus",1.872,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"363","GO:0042147","retrograde transport, endosome to Golgi",1.871,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"364","GO:0007035","vacuolar acidification",1.87,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"365","GO:0050804","modulation of chemical synaptic transmission",1.869,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"366","GO:0010508","positive regulation of autophagy",1.863,"2.63% {3/114}","0.4% {4/1010}",0.012,1
"367","GO:0006464","cellular protein modification process",1.862,"0% {0/114}","0.89% {9/1010}",0.676,1
"368","GO:0031000","response to caffeine",1.857,"2.63% {3/114}","0% {0/1010}",1.31e-05,0.0205277
"369","GO:0036498","IRE1-mediated unfolded protein response",1.855,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"370","GO:0006469","negative regulation of protein kinase activity",1.851,"1.75% {2/114}","0.99% {10/1010}",0.393,1
"371","GO:0007202","activation of phospholipase C activity",1.85,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"372","GO:0007268","chemical synaptic transmission",1.842,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"373","GO:0046513","ceramide biosynthetic process",1.84,"0% {0/114}","0.89% {9/1010}",0.676,1
"374","GO:0071260","cellular response to mechanical stimulus",1.834,"1.75% {2/114}","1.29% {13/1010}",0.5,1
"375","GO:0075044","positive regulation by symbiont of host autophagy",1.827,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"376","GO:1901215","negative regulation of neuron death",1.819,"1.75% {2/114}","0.79% {8/1010}",0.305,1
"377","GO:0042060","wound healing",1.816,"0.88% {1/114}","1.58% {16/1010}",0.572,1
"378","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",1.808,"0.88% {1/114}","0.89% {9/1010}",0.5,1
"379","GO:0045087","innate immune response",1.794,"0% {0/114}","1.68% {17/1010}",0.839,1
"380","GO:0051898","negative regulation of protein kinase B signaling",1.794,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"381","GO:0045055","regulated exocytosis",1.786,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"382","GO:0046627","negative regulation of insulin receptor signaling pathway",1.784,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"383","GO:0006801","superoxide metabolic process",1.783,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"384","GO:0009725","response to hormone",1.774,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"385","GO:0007602","phototransduction",1.767,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"386","GO:0035722","interleukin-12-mediated signaling pathway",1.748,"1.75% {2/114}","1.49% {15/1010}",0.5,1
"387","GO:0090263","positive regulation of canonical Wnt signaling pathway",1.735,"0% {0/114}","1.88% {19/1010}",0.863,1
"388","GO:0009113","purine nucleobase biosynthetic process",1.724,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"389","GO:0035999","tetrahydrofolate interconversion",1.72,"0% {0/114}","0.5% {5/1010}",0.504,1
"390","GO:0016042","lipid catabolic process",1.711,"0.88% {1/114}","1.19% {12/1010}",0.5,1
"391","GO:0031333","negative regulation of protein-containing complex assembly",1.711,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"392","GO:0070932","histone H3 deacetylation",1.706,"2.63% {3/114}","0.3% {3/1010}",0.005,1
"393","GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors",1.705,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"394","GO:0009636","response to toxic substance",1.694,"0% {0/114}","1.29% {13/1010}",0.775,1
"395","GO:0006851","mitochondrial calcium ion transmembrane transport",1.684,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"396","GO:1901998","toxin transport",1.681,"0% {0/114}","0.59% {6/1010}",0.559,1
"397","GO:0007223","Wnt signaling pathway, calcium modulating pathway",1.681,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"398","GO:0071233","cellular response to leucine",1.677,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"399","GO:0120162","positive regulation of cold-induced thermogenesis",1.676,"0.88% {1/114}","1.39% {14/1010}",0.507,1
"400","GO:0046655","folic acid metabolic process",1.675,"0% {0/114}","0.59% {6/1010}",0.559,1
"401","GO:0050917","sensory perception of umami taste",1.674,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"402","GO:1903543","positive regulation of exosomal secretion",1.671,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"403","GO:0061024","membrane organization",1.67,"1.75% {2/114}","1.78% {18/1010}",0.5,1
"404","GO:0007411","axon guidance",1.665,"1.75% {2/114}","0.99% {10/1010}",0.393,1
"405","GO:0001649","osteoblast differentiation",1.645,"0% {0/114}","1.58% {16/1010}",0.825,1
"406","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation",1.644,"1.75% {2/114}","0.69% {7/1010}",0.258,1
"407","GO:0014065","phosphatidylinositol 3-kinase signaling",1.642,"1.75% {2/114}","0.79% {8/1010}",0.305,1
"408","GO:2000300","regulation of synaptic vesicle exocytosis",1.617,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"409","GO:0032922","circadian regulation of gene expression",1.616,"2.63% {3/114}","0.59% {6/1010}",0.039,1
"410","GO:0006563","L-serine metabolic process",1.599,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"411","GO:0050896","response to stimulus",1.597,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"412","GO:0006414","translational elongation",1.574,"0% {0/114}","0.89% {9/1010}",0.676,1
"413","GO:0039694","viral RNA genome replication",1.572,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"414","GO:0006879","cellular iron ion homeostasis",1.562,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"415","GO:0050728","negative regulation of inflammatory response",1.552,"1.75% {2/114}","0.5% {5/1010}",0.161,1
"416","GO:0045333","cellular respiration",1.546,"0% {0/114}","0.4% {4/1010}",0.5,1
"417","GO:0030335","positive regulation of cell migration",1.54,"3.51% {4/114}","2.28% {23/1010}",0.312,1
"418","GO:0045725","positive regulation of glycogen biosynthetic process",1.54,"1.75% {2/114}","0.4% {4/1010}",0.113,1
"419","GO:0016540","protein autoprocessing",1.54,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"420","GO:0043488","regulation of mRNA stability",1.527,"0% {0/114}","2.28% {23/1010}",0.9,1
"421","GO:0002931","response to ischemia",1.52,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"422","GO:0001934","positive regulation of protein phosphorylation",1.515,"2.63% {3/114}","2.18% {22/1010}",0.5,1
"423","GO:0045921","positive regulation of exocytosis",1.514,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"424","GO:0001843","neural tube closure",1.508,"0.88% {1/114}","0.99% {10/1010}",0.5,1
"425","GO:0007265","Ras protein signal transduction",1.503,"0% {0/114}","1.39% {14/1010}",0.794,1
"426","GO:0006749","glutathione metabolic process",1.498,"2.63% {3/114}","0.59% {6/1010}",0.039,1
"427","GO:0000086","G2/M transition of mitotic cell cycle",1.491,"0% {0/114}","1.49% {15/1010}",0.81,1
"428","GO:0007212","dopamine receptor signaling pathway",1.489,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"429","GO:0019221","cytokine-mediated signaling pathway",1.469,"1.75% {2/114}","1.68% {17/1010}",0.5,1
"430","GO:0038083","peptidyl-tyrosine autophosphorylation",1.469,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"431","GO:0045665","negative regulation of neuron differentiation",1.468,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"432","GO:0007601","visual perception",1.468,"1.75% {2/114}","0.89% {9/1010}",0.35,1
"433","GO:0021766","hippocampus development",1.466,"0.88% {1/114}","1.19% {12/1010}",0.5,1
"434","GO:0097009","energy homeostasis",1.463,"2.63% {3/114}","0.3% {3/1010}",0.005,1
"435","GO:0120163","negative regulation of cold-induced thermogenesis",1.463,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"436","GO:0031100","animal organ regeneration",1.451,"0.88% {1/114}","0.89% {9/1010}",0.5,1
"437","GO:0032781","positive regulation of ATPase activity",1.447,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"438","GO:0021987","cerebral cortex development",1.445,"0.88% {1/114}","0.99% {10/1010}",0.5,1
"439","GO:0033673","negative regulation of kinase activity",1.44,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"440","GO:0051726","regulation of cell cycle",1.434,"0.88% {1/114}","1.68% {17/1010}",0.601,1
"441","GO:0007266","Rho protein signal transduction",1.427,"1.75% {2/114}","0.89% {9/1010}",0.35,1
"442","GO:0006366","transcription by RNA polymerase II",1.425,"0% {0/114}","1.49% {15/1010}",0.81,1
"443","GO:0042127","regulation of cell population proliferation",1.42,"0.88% {1/114}","1.88% {19/1010}",0.654,1
"444","GO:0007605","sensory perception of sound",1.419,"1.75% {2/114}","0.69% {7/1010}",0.258,1
"445","GO:0060396","growth hormone receptor signaling pathway",1.417,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"446","GO:0001503","ossification",1.4,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"447","GO:0009168","purine ribonucleoside monophosphate biosynthetic process",1.391,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"448","GO:0038095","Fc-epsilon receptor signaling pathway",1.39,"0.88% {1/114}","2.87% {29/1010}",0.828,1
"449","GO:0046427","positive regulation of receptor signaling pathway via JAK-STAT",1.39,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"450","GO:0050885","neuromuscular process controlling balance",1.387,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"451","GO:0006105","succinate metabolic process",1.372,"0% {0/114}","0.4% {4/1010}",0.5,1
"452","GO:0051560","mitochondrial calcium ion homeostasis",1.371,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"453","GO:0051247","positive regulation of protein metabolic process",1.361,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"454","GO:0030324","lung development",1.354,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"455","GO:0008360","regulation of cell shape",1.347,"1.75% {2/114}","0.79% {8/1010}",0.305,1
"456","GO:0006694","steroid biosynthetic process",1.345,"1.75% {2/114}","0.69% {7/1010}",0.258,1
"457","GO:0034551","mitochondrial respiratory chain complex III assembly",1.345,"0% {0/114}","0.4% {4/1010}",0.5,1
"458","GO:0001932","regulation of protein phosphorylation",1.326,"1.75% {2/114}","1.29% {13/1010}",0.5,1
"459","GO:0035094","response to nicotine",1.322,"1.75% {2/114}","0.2% {2/1010}",0.035,1
"460","GO:0050829","defense response to Gram-negative bacterium",1.321,"0% {0/114}","0.3% {3/1010}",0.5,1
"461","GO:0043434","response to peptide hormone",1.321,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"462","GO:0044597","daunorubicin metabolic process",1.321,"0% {0/114}","0.69% {7/1010}",0.604,1
"463","GO:0006189","'de novo' IMP biosynthetic process",1.32,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"464","GO:0006625","protein targeting to peroxisome",1.319,"0% {0/114}","0.79% {8/1010}",0.643,1
"465","GO:0034199","activation of protein kinase A activity",1.318,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"466","GO:0010870","positive regulation of receptor biosynthetic process",1.31,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"467","GO:0045429","positive regulation of nitric oxide biosynthetic process",1.299,"2.63% {3/114}","0.3% {3/1010}",0.005,1
"468","GO:0070933","histone H4 deacetylation",1.298,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"469","GO:0006164","purine nucleotide biosynthetic process",1.297,"0.88% {1/114}","0.79% {8/1010}",0.5,1
"470","GO:0006754","ATP biosynthetic process",1.296,"0% {0/114}","0.59% {6/1010}",0.559,1
"471","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway",1.291,"1.75% {2/114}","0.69% {7/1010}",0.258,1
"472","GO:0070059","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress",1.29,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"473","GO:0043491","protein kinase B signaling",1.288,"1.75% {2/114}","0.59% {6/1010}",0.209,1
"474","GO:0050852","T cell receptor signaling pathway",1.287,"0.88% {1/114}","2.48% {25/1010}",0.773,1
"475","GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process",1.282,"0% {0/114}","1.09% {11/1010}",0.732,1
"476","GO:0009190","cyclic nucleotide biosynthetic process",1.276,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"477","GO:0043410","positive regulation of MAPK cascade",1.273,"1.75% {2/114}","0.99% {10/1010}",0.393,1
"478","GO:0009791","post-embryonic development",1.269,"1.75% {2/114}","0.89% {9/1010}",0.35,1
"479","GO:0045931","positive regulation of mitotic cell cycle",1.268,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"480","GO:0060047","heart contraction",1.259,"1.75% {2/114}","0.5% {5/1010}",0.161,1
"481","GO:0044804","autophagy of nucleus",1.245,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"482","GO:0001935","endothelial cell proliferation",1.228,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"483","GO:0031667","response to nutrient levels",1.224,"3.51% {4/114}","0.99% {10/1010}",0.032,1
"484","GO:0060789","hair follicle placode formation",1.223,"1.75% {2/114}","0.1% {1/1010}",0.011,1
"485","GO:0070317","negative regulation of G0 to G1 transition",1.216,"0% {0/114}","0.89% {9/1010}",0.676,1
"486","GO:0070509","calcium ion import",1.21,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"487","GO:0010951","negative regulation of endopeptidase activity",1.208,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"488","GO:0042254","ribosome biogenesis",1.198,"0% {0/114}","0.79% {8/1010}",0.643,1
"489","GO:0034614","cellular response to reactive oxygen species",1.193,"0.88% {1/114}","1.09% {11/1010}",0.5,1
"490","GO:0072593","reactive oxygen species metabolic process",1.191,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"491","GO:0043154","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",1.19,"0.88% {1/114}","0.69% {7/1010}",0.5,1
"492","GO:0046854","phosphatidylinositol phosphorylation",1.188,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"493","GO:0006497","protein lipidation",1.185,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"494","GO:0019441","tryptophan catabolic process to kynurenine",1.18,"0% {0/114}","0.4% {4/1010}",0.5,1
"495","GO:0032088","negative regulation of NF-kappaB transcription factor activity",1.173,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"496","GO:0032094","response to food",1.166,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"497","GO:2001234","negative regulation of apoptotic signaling pathway",1.166,"1.75% {2/114}","0.3% {3/1010}",0.07,1
"498","GO:0006534","cysteine metabolic process",1.165,"0.88% {1/114}","0.2% {2/1010}",0.354,1
"499","GO:0030968","endoplasmic reticulum unfolded protein response",1.16,"0.88% {1/114}","0.59% {6/1010}",0.5,1
"500","GO:0008203","cholesterol metabolic process",1.16,"1.75% {2/114}","1.39% {14/1010}",0.5,1
"501","GO:0006954","inflammatory response",1.157,"0% {0/114}","1.78% {18/1010}",0.852,1
"502","GO:0030099","myeloid cell differentiation",1.155,"0.88% {1/114}","0.3% {3/1010}",0.438,1
"503","GO:0000278","mitotic cell cycle",1.151,"0% {0/114}","0.99% {10/1010}",0.706,1
"504","GO:0009408","response to heat",1.151,"1.75% {2/114}","0.69% {7/1010}",0.258,1
"505","GO:0019432","triglyceride biosynthetic process",1.148,"0% {0/114}","0.3% {3/1010}",0.5,1
"506","GO:0042594","response to starvation",1.146,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"507","GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",1.145,"0% {0/114}","0.79% {8/1010}",0.643,1
"508","GO:0000027","ribosomal large subunit assembly",1.135,"0% {0/114}","0.69% {7/1010}",0.604,1
"509","GO:0071377","cellular response to glucagon stimulus",1.135,"1.75% {2/114}","0.89% {9/1010}",0.35,1
"510","GO:0002250","adaptive immune response",1.131,"0.88% {1/114}","0.4% {4/1010}",0.5,1
"511","GO:2000352","negative regulation of endothelial cell apoptotic process",1.129,"0.88% {1/114}","0.5% {5/1010}",0.5,1
"512","GO:0030150","protein import into mitochondrial matrix",1.121,"0% {0/114}","0.59% {6/1010}",0.559,1
